transaction_id,customer_id,amount,transaction_type,transaction_date
209,761,3186.59,Debit,2025-11-29
210,163,1004.85,Debit,2026-02-02
211,721,3089.52,Debit,2024-10-20
212,482,4042.31,Debit,2025-02-09
213,272,3850.96,Debit,2026-05-01
214,453,4853.01,Debit,2025-06-28
215,43,322.15,Credit,2024-09-19
216,632,507.7,Credit,2025-07-21
217,676,2548.24,Debit,2025-10-25
218,201,270.34,Credit,2025-04-24
219,195,2950.84,Credit,2025-12-27
220,170,428.68,Debit,2024-11-04
221,306,85.96,Debit,2025-08-02
222,569,1251.24,Debit,2026-05-10
223,838,3405.51,Debit,2025-12-18
224,295,4673.16,Debit,2025-09-25
225,950,4146.22,Credit,2025-04-29
226,466,1803.99,Credit,2026-05-23
227,403,3224.17,Debit,2024-05-25
228,577,4927.34,Credit,2025-08-02
229,308,2893.95,Credit,2024-06-12
230,476,890.0,Debit,2024-07-26
231,681,578.96,Debit,2025-02-16
232,943,3162.77,Debit,2024-07-01
233,134,4096.22,Credit,2025-01-07
234,888,4604.24,Debit,2025-12-21
235,427,3519.42,Credit,2024-06-25
236,546,1842.08,Credit,2024-11-01
237,993,4378.45,Credit,2025-04-21
238,549,3521.04,Debit,2025-07-13
239,242,4210.43,Debit,2025-05-05
240,867,1728.2,Debit,2025-08-22
241,743,276.22,Debit,2025-02-04
242,666,4957.87,Credit,2025-10-09
243,24,3379.74,Debit,2025-06-18
244,328,4078.02,Debit,2025-12-28
245,327,154.54,Credit,2025-08-29
246,9,2976.72,Credit,2025-07-07
247,180,4299.66,Debit,2025-08-27
248,581,3698.28,Credit,2025-09-01
249,785,2214.24,Debit,2024-08-19
250,166,613.07,Debit,2025-09-10
251,136,4310.59,Credit,2024-12-06
252,508,720.56,Credit,2024-09-06
253,763,3396.57,Debit,2025-08-01
254,346,3566.8,Debit,2026-03-21
255,361,3719.01,Credit,2024-11-24
256,296,1816.86,Credit,2025-07-23
257,151,3306.5,Debit,2025-03-31
258,851,788.74,Debit,2024-09-14
259,450,496.21,Credit,2025-09-21
260,262,976.54,Credit,2025-01-24
261,142,2924.69,Debit,2024-06-20
262,413,695.8,Debit,2026-03-30
263,110,2565.27,Credit,2025-11-11
264,874,990.85,Credit,2026-03-17
265,144,2751.63,Debit,2025-10-28
266,969,453.46,Debit,2026-02-12
267,854,1187.42,Debit,2025-09-27
268,708,637.05,Debit,2026-04-18
269,126,2601.04,Debit,2025-02-19
270,784,956.05,Debit,2026-03-07
271,179,4388.99,Debit,2024-12-14
272,510,4315.46,Credit,2025-01-03
273,588,1217.65,Credit,2026-02-03
274,684,4874.82,Credit,2024-06-19
275,850,1531.85,Credit,2026-04-21
276,636,3483.88,Credit,2024-06-01
277,269,999.56,Credit,2025-10-30
278,617,1930.86,Credit,2024-12-28
279,136,3907.29,Credit,2025-09-27
280,176,4730.91,Credit,2025-04-16
281,16,1758.18,Credit,2025-11-29
282,108,4719.0,Debit,2025-12-13
283,639,958.19,Credit,2025-08-05
284,114,3563.41,Credit,2025-05-03
285,835,2785.89,Credit,2025-07-07
286,236,2622.35,Credit,2025-06-22
287,464,2216.13,Debit,2025-02-12
288,573,422.88,Credit,2024-08-25
289,287,3906.59,Credit,2025-10-19
290,773,3158.87,Credit,2025-01-23
291,842,4290.0,Debit,2025-06-22
292,832,1932.44,Credit,2026-01-22
293,442,3177.14,Debit,2024-11-23
294,548,4070.74,Debit,2026-04-29
295,864,1293.86,Debit,2025-09-10
296,20,3372.07,Debit,2025-01-05
297,943,1016.46,Debit,2025-05-17
298,680,979.07,Debit,2025-04-11
299,950,4610.69,Credit,2025-01-20
300,939,79.54,Debit,2025-07-07
301,632,3760.89,Debit,2025-05-11
302,566,61.57,Credit,2025-01-12
303,284,611.14,Debit,2025-10-04
304,393,4659.97,Debit,2025-04-07
305,918,3190.02,Credit,2026-04-02
306,543,2992.27,Debit,2025-09-20
307,401,2464.34,Debit,2025-01-10
308,216,722.5,Credit,2024-12-21
309,273,1594.93,Debit,2025-01-07
310,951,233.36,Debit,2025-08-27
311,213,2775.09,Credit,2024-10-08
312,749,3492.56,Credit,2025-06-06
313,851,4939.11,Credit,2025-02-08
314,958,3642.76,Debit,2025-11-02
315,92,1252.62,Credit,2025-01-20
316,295,3172.88,Credit,2026-03-31
317,541,4753.34,Credit,2024-06-19
318,560,2929.45,Credit,2025-11-03
319,298,3624.32,Debit,2024-10-27
320,331,2174.87,Credit,2025-09-09
321,946,3438.88,Debit,2025-09-09
322,647,2153.71,Debit,2024-06-04
323,212,3067.96,Credit,2024-09-09
324,746,4997.72,Debit,2026-04-18
325,452,2984.05,Credit,2025-10-07
326,676,563.68,Debit,2025-05-28
327,780,4572.32,Debit,2024-09-22
328,745,203.13,Debit,2025-01-02
329,603,4923.29,Credit,2024-12-26
330,213,4965.07,Debit,2024-12-21
331,416,2974.78,Credit,2025-02-13
332,732,677.2,Debit,2025-01-18
333,465,208.32,Debit,2025-06-18
334,48,2128.83,Credit,2024-07-05
335,350,3747.58,Debit,2024-11-08
336,18,4440.5,Credit,2026-02-03
337,1000,2456.29,Credit,2025-12-18
338,726,302.42,Credit,2025-03-13
339,383,4030.19,Debit,2026-01-06
340,107,2869.05,Debit,2025-05-03
341,802,115.01,Credit,2025-09-24
342,551,1318.67,Debit,2025-08-02
343,827,351.24,Credit,2024-12-28
344,879,3284.63,Credit,2026-02-04
345,790,1747.82,Debit,2025-07-29
346,683,3364.8,Debit,2025-08-17
347,471,3460.09,Debit,2026-03-15
348,577,2717.83,Credit,2025-06-12
349,436,4200.22,Credit,2026-01-29
350,728,1506.56,Credit,2025-05-01
351,431,89.6,Credit,2025-09-05
352,554,4011.57,Credit,2026-02-01
353,922,263.47,Credit,2024-12-08
354,781,1020.35,Credit,2026-03-19
355,306,3555.49,Credit,2024-06-04
356,721,167.88,Debit,2026-03-05
357,857,3734.91,Debit,2025-08-31
358,209,1022.05,Debit,2024-05-26
359,813,2368.03,Debit,2025-10-29
360,315,4688.97,Debit,2026-04-10
361,309,2392.71,Credit,2025-01-08
362,445,3648.94,Debit,2025-06-01
363,840,4749.46,Debit,2025-05-25
364,355,2019.38,Debit,2025-05-09
365,329,4683.28,Credit,2024-10-17
366,569,422.16,Debit,2025-10-13
367,83,1104.93,Credit,2025-02-05
368,362,413.03,Credit,2025-08-23
369,874,3042.94,Debit,2024-10-07
370,985,2698.07,Debit,2025-07-08
371,658,4372.98,Credit,2025-10-25
372,148,4229.79,Debit,2026-04-25
373,49,1612.65,Credit,2025-03-18
374,354,4246.7,Debit,2025-02-22
375,832,1729.85,Debit,2025-06-17
376,127,1382.27,Debit,2026-04-03
377,193,3199.73,Debit,2025-03-16
378,369,3957.6,Debit,2024-11-11
379,633,1824.91,Debit,2026-03-20
380,444,565.41,Credit,2024-09-26
381,750,771.84,Credit,2025-04-04
382,537,614.72,Credit,2025-02-26
383,456,2777.26,Credit,2025-07-07
384,572,1428.12,Credit,2025-05-06
385,274,2415.19,Credit,2025-02-06
386,682,1772.28,Debit,2026-03-22
387,742,3293.93,Credit,2026-03-01
388,465,3521.57,Credit,2025-01-19
389,974,3704.43,Debit,2025-04-29
390,506,895.41,Debit,2025-04-04
391,164,1503.01,Debit,2025-12-24
392,477,593.31,Debit,2024-12-28
393,875,3711.54,Debit,2025-12-07
394,626,4754.67,Credit,2024-09-08
395,843,1608.75,Credit,2025-09-05
396,825,3270.75,Credit,2025-03-13
397,605,130.56,Debit,2025-06-15
398,165,2361.39,Credit,2025-02-07
399,334,3617.12,Debit,2025-08-21
400,565,1004.42,Credit,2025-12-17
401,665,2943.94,Debit,2025-01-17
402,947,4143.94,Debit,2025-08-17
403,547,3716.48,Credit,2024-07-09
404,504,3507.99,Debit,2025-09-18
405,828,3936.32,Debit,2025-10-17
406,313,4872.91,Debit,2024-06-11
407,106,3458.76,Credit,2025-11-29
408,870,2919.1,Debit,2025-06-22
409,198,326.44,Credit,2025-12-09
410,148,1552.72,Credit,2025-12-24
411,840,4169.69,Debit,2024-09-06
412,24,447.55,Debit,2024-09-16
413,901,3300.79,Debit,2024-11-05
414,523,849.28,Credit,2025-12-18
415,203,4675.43,Credit,2025-11-10
416,47,879.44,Credit,2024-07-26
417,471,4384.15,Credit,2026-05-10
418,218,2902.71,Credit,2024-11-20
419,562,1888.5,Credit,2026-02-23
420,274,2291.43,Debit,2025-11-29
421,36,1199.14,Debit,2025-08-04
422,750,413.95,Credit,2025-06-01
423,21,2682.54,Debit,2025-01-31
424,698,498.31,Credit,2025-04-20
425,11,1348.9,Debit,2025-02-23
426,779,3962.4,Credit,2026-01-08
427,54,4308.84,Debit,2024-07-25
428,556,1774.87,Debit,2024-07-27
429,181,1751.02,Debit,2026-01-27
430,608,4487.41,Debit,2025-12-28
431,491,1406.97,Debit,2024-11-18
432,483,352.94,Credit,2025-05-20
433,94,1632.61,Credit,2024-07-06
434,817,4549.35,Debit,2025-07-15
435,8,4019.75,Credit,2025-01-18
436,966,1090.64,Debit,2024-12-06
437,578,1542.56,Credit,2025-04-22
438,522,1856.9,Debit,2026-01-25
439,821,2094.45,Debit,2025-12-17
440,295,3440.54,Debit,2025-05-22
441,434,2652.61,Credit,2025-03-20
442,169,413.35,Credit,2024-12-16
443,639,1109.07,Debit,2025-08-10
444,12,2079.75,Credit,2025-06-17
445,128,3801.04,Debit,2026-05-17
446,399,3571.47,Credit,2026-04-07
447,597,833.05,Credit,2025-04-12
448,787,109.18,Credit,2025-03-16
449,146,4168.93,Debit,2024-11-28
450,175,779.53,Debit,2025-02-11
451,239,1184.27,Credit,2026-03-28
452,482,4705.66,Debit,2025-06-30
453,755,3788.04,Debit,2026-04-20
454,370,1842.71,Debit,2025-05-16
455,448,966.46,Debit,2024-09-08
456,549,3455.12,Credit,2024-07-05
457,255,2159.09,Credit,2024-06-02
458,989,4292.66,Credit,2026-03-05
459,972,2486.33,Credit,2026-04-04
460,365,610.76,Credit,2025-11-01
461,601,460.04,Credit,2025-03-13
462,30,3400.6,Credit,2025-03-22
463,2,237.87,Debit,2024-11-06
464,22,2623.29,Credit,2025-08-28
465,578,3034.49,Credit,2024-10-11
466,135,2624.3,Credit,2025-06-27
467,696,3563.11,Credit,2025-01-24
468,750,3542.79,Debit,2024-09-04
469,871,639.3,Debit,2024-08-03
470,29,4456.96,Credit,2025-09-26
471,962,840.81,Credit,2026-02-02
472,20,803.43,Credit,2024-09-20
473,346,600.32,Credit,2025-02-21
474,627,1528.05,Credit,2024-06-11
475,672,3502.42,Credit,2024-11-03
476,990,2224.73,Credit,2026-03-20
477,29,2023.15,Debit,2025-08-17
478,901,4406.44,Credit,2024-12-07
479,569,3116.22,Credit,2024-09-28
480,670,4837.08,Debit,2024-06-17
481,459,467.18,Debit,2026-01-15
482,192,3752.36,Debit,2024-07-30
483,993,3929.8,Debit,2024-07-07
484,331,3145.59,Debit,2026-03-06
485,1000,1717.92,Debit,2025-04-23
486,272,2395.11,Credit,2024-07-20
487,118,1037.15,Debit,2024-09-07
488,258,4558.74,Credit,2026-01-22
489,27,647.9,Credit,2025-08-27
490,258,4255.71,Credit,2024-10-15
491,36,1255.81,Debit,2024-11-11
492,434,1650.06,Debit,2026-01-07
493,663,1556.26,Credit,2026-02-05
494,749,3462.17,Credit,2026-05-20
495,550,4718.64,Debit,2025-07-19
496,173,268.33,Debit,2025-04-08
497,508,3155.36,Credit,2024-09-20
498,941,2911.7,Debit,2026-01-27
499,642,2329.08,Credit,2024-09-28
500,88,1660.88,Debit,2026-05-19
501,44,1439.75,Credit,2025-11-10
502,43,179.06,Debit,2024-05-27
503,41,3548.56,Debit,2024-12-27
504,111,2524.54,Credit,2024-08-10
505,164,3442.38,Credit,2025-12-21
506,624,3352.19,Credit,2025-12-05
507,880,1919.6,Debit,2026-03-03
508,45,3861.6,Credit,2024-05-30
509,207,1654.72,Debit,2024-11-10
510,584,577.23,Debit,2025-09-24
511,421,3722.05,Credit,2025-07-03
512,963,3527.97,Credit,2025-08-13
513,176,2948.48,Credit,2025-05-23
514,541,1473.74,Credit,2024-12-29
515,329,1340.85,Credit,2024-08-29
516,919,4560.79,Credit,2026-03-06
517,711,4581.54,Debit,2026-01-08
518,252,2610.67,Debit,2025-12-23
519,984,4259.7,Debit,2024-11-22
520,338,4895.11,Debit,2025-01-25
521,497,915.62,Credit,2025-02-21
522,89,2326.22,Credit,2025-10-24
523,450,3429.6,Debit,2025-09-10
524,795,4094.89,Credit,2024-07-23
525,57,3288.6,Credit,2024-08-09
526,720,1916.6,Credit,2025-01-16
527,52,2703.66,Debit,2025-07-09
528,468,1400.51,Debit,2025-09-27
529,421,2519.43,Credit,2024-08-10
530,733,2525.53,Debit,2025-07-08
531,25,1561.53,Debit,2025-06-23
532,154,4568.99,Credit,2026-03-24
533,340,2453.71,Credit,2025-08-23
534,738,4487.69,Credit,2025-12-14
535,62,2887.07,Credit,2024-12-10
536,200,87.15,Debit,2026-03-05
537,810,4415.49,Debit,2024-06-20
538,231,2931.64,Debit,2024-07-15
539,369,3172.08,Debit,2025-04-22
540,359,3963.65,Credit,2025-01-27
541,857,2819.73,Debit,2026-05-15
542,888,1072.47,Debit,2025-04-18
543,715,4396.87,Debit,2025-12-14
544,932,4073.12,Credit,2024-08-01
545,924,1592.31,Credit,2024-11-24
546,106,702.85,Credit,2025-04-23
547,205,1442.05,Debit,2025-09-05
548,756,4368.05,Credit,2025-09-05
549,691,1917.86,Debit,2026-01-16
550,976,3530.38,Credit,2026-01-14
551,599,601.45,Debit,2026-04-01
552,896,3923.97,Debit,2026-01-09
553,80,3582.39,Debit,2025-11-29
554,119,1152.47,Debit,2025-09-27
555,590,2934.62,Credit,2025-10-13
556,82,3391.93,Credit,2024-10-14
557,418,4096.84,Credit,2024-11-11
558,397,1671.58,Debit,2025-11-22
559,182,4240.21,Credit,2025-03-18
560,201,2694.21,Credit,2024-08-16
561,198,2703.38,Debit,2025-03-20
562,553,1342.53,Debit,2024-07-30
563,465,1487.37,Credit,2026-02-04
564,15,940.8,Debit,2024-10-31
565,498,1749.33,Credit,2025-05-09
566,185,4842.95,Credit,2025-05-10
567,553,4993.06,Credit,2024-10-15
568,956,1547.26,Credit,2025-07-12
569,441,4106.32,Credit,2025-09-30
570,659,2896.46,Debit,2025-09-14
571,843,2084.68,Credit,2026-04-07
572,21,4328.18,Debit,2024-06-04
573,473,2482.95,Debit,2024-11-14
574,858,3745.78,Credit,2025-08-28
575,296,2556.16,Credit,2024-08-28
576,670,3468.58,Credit,2025-08-13
577,885,1153.21,Credit,2025-02-14
578,905,3747.75,Debit,2024-07-05
579,940,251.24,Debit,2025-01-23
580,415,3293.91,Credit,2024-10-16
581,33,4329.98,Credit,2025-12-20
582,896,2839.17,Credit,2026-03-12
583,976,3378.46,Credit,2024-08-08
584,95,3647.95,Credit,2025-11-04
585,88,4602.62,Credit,2024-10-03
586,101,2564.38,Credit,2024-05-31
587,182,3696.02,Debit,2026-03-31
588,123,4152.15,Credit,2025-10-24
589,360,2022.77,Credit,2025-07-05
590,826,4034.93,Debit,2025-06-02
591,915,1931.17,Debit,2025-12-19
592,166,1828.23,Debit,2024-12-18
593,253,2923.82,Debit,2025-09-15
594,421,3270.6,Credit,2025-10-24
595,627,4850.88,Debit,2026-01-15
596,843,4028.46,Debit,2025-08-15
597,124,268.57,Debit,2025-02-05
598,176,3483.59,Credit,2024-10-04
599,674,3162.66,Credit,2025-04-27
600,396,46.17,Credit,2024-10-24
601,91,306.64,Debit,2025-12-29
602,239,2591.04,Debit,2025-05-16
603,436,3847.89,Credit,2026-05-09
604,239,2369.3,Debit,2025-08-20
605,799,3363.14,Debit,2026-04-18
606,803,2226.84,Debit,2024-06-01
607,47,4473.62,Credit,2025-07-06
608,390,1459.63,Debit,2025-12-07
609,386,1221.17,Debit,2025-03-01
610,111,2754.37,Debit,2024-07-23
611,283,2891.9,Debit,2025-07-31
612,604,564.65,Debit,2026-04-30
613,21,3653.59,Credit,2025-11-29
614,845,4651.79,Credit,2024-12-16
615,536,2830.37,Credit,2025-06-03
616,490,416.63,Debit,2024-08-08
617,866,2532.65,Debit,2025-08-01
618,832,3422.43,Debit,2024-08-06
619,835,2475.7,Credit,2025-03-09
620,203,3952.58,Debit,2024-11-13
621,644,4098.04,Debit,2025-03-02
622,571,65.0,Credit,2024-09-06
623,680,2082.25,Credit,2025-10-28
624,93,528.98,Debit,2025-12-21
625,307,1540.2,Credit,2025-01-22
626,131,4127.08,Credit,2024-10-12
627,907,271.74,Credit,2025-01-27
628,658,3128.92,Credit,2024-08-30
629,781,1771.38,Debit,2026-04-15
630,127,4574.54,Credit,2025-11-01
631,292,3039.47,Credit,2025-07-31
632,872,1956.4,Credit,2024-09-02
633,388,1232.52,Debit,2026-03-12
634,952,858.86,Credit,2025-07-31
635,130,899.22,Debit,2026-01-12
636,636,3249.37,Credit,2025-01-15
637,182,3364.3,Debit,2025-06-29
638,757,4160.27,Debit,2026-04-04
639,464,3880.76,Credit,2025-04-04
640,154,2684.08,Credit,2026-01-26
641,496,3693.74,Debit,2026-04-12
642,953,3636.18,Debit,2025-06-09
643,76,2771.56,Debit,2024-10-28
644,208,3974.25,Debit,2026-02-28
645,363,4588.71,Credit,2026-01-20
646,594,4175.16,Debit,2025-08-08
647,812,959.04,Credit,2024-07-18
648,707,99.5,Credit,2025-12-23
649,286,3013.88,Credit,2025-11-18
650,168,3831.75,Debit,2024-09-03
651,619,376.83,Debit,2025-02-13
652,638,1786.82,Debit,2024-09-24
653,534,3602.02,Debit,2026-01-13
654,117,1039.28,Debit,2026-03-17
655,31,3756.14,Debit,2025-10-14
656,838,109.48,Debit,2025-11-27
657,759,142.22,Credit,2025-12-04
658,154,305.88,Credit,2026-03-10
659,280,1337.77,Debit,2024-12-04
660,919,2701.29,Credit,2025-02-19
661,627,1854.47,Debit,2025-06-04
662,916,2145.35,Credit,2026-02-23
663,913,2445.32,Credit,2025-03-22
664,85,4506.65,Credit,2025-08-19
665,717,72.84,Debit,2025-06-11
666,162,108.78,Debit,2026-05-15
667,660,3542.41,Credit,2026-01-15
668,664,3402.63,Debit,2025-12-18
669,151,2917.62,Credit,2025-10-28
670,349,3133.18,Credit,2025-07-02
671,782,4542.18,Credit,2025-02-27
672,24,4603.03,Credit,2025-10-22
673,288,402.41,Debit,2024-07-25
674,460,242.25,Debit,2024-06-15
675,758,492.8,Debit,2025-06-07
676,326,4350.21,Debit,2025-02-01
677,335,4714.83,Credit,2024-09-25
678,885,1902.85,Credit,2026-01-10
679,221,4270.8,Debit,2025-05-13
680,48,3414.45,Credit,2024-12-07
681,144,515.25,Debit,2026-05-14
682,826,4519.68,Credit,2025-04-10
683,161,3499.71,Credit,2024-10-20
684,185,1690.61,Debit,2026-03-20
685,467,579.01,Credit,2024-09-14
686,804,1134.72,Credit,2026-04-19
687,498,3201.93,Debit,2025-08-04
688,264,1654.29,Debit,2025-06-23
689,515,3802.61,Credit,2025-05-11
690,645,3004.98,Credit,2025-03-21
691,253,3621.03,Credit,2024-12-06
692,762,2942.86,Credit,2026-04-04
693,433,338.24,Debit,2025-12-16
694,708,3546.97,Credit,2025-09-02
695,568,3492.79,Debit,2024-07-02
696,426,569.0,Debit,2025-12-22
697,659,45.41,Debit,2025-10-11
698,406,696.45,Credit,2024-09-16
699,951,4544.1,Debit,2025-03-04
700,197,4482.24,Credit,2026-02-22
701,394,676.84,Debit,2025-12-15
702,217,2344.3,Credit,2025-05-07
703,58,879.9,Credit,2025-10-01
704,521,4748.57,Debit,2024-12-09
705,804,2764.6,Debit,2024-08-10
